gene symbol,gene mim,disease name,disease mim,DDD category,allelic requirement,mutation consequence,phenotypes,organ specificity list,pmids,panel,prev symbols,hgnc id,gene disease pair entry date
COL3A1,120180,EHLERS-DANLOS SYNDROME TYPE IV,130050,confirmed,monoallelic,uncertain,HP:0000995;HP:0000190;HP:0002321;HP:0000233;HP:0004944;HP:0000501;HP:0100718;HP:0012385;HP:0000704;HP:0000168;HP:0001762;HP:0012733;HP:0002108;HP:0002617;HP:0100840;HP:0100585;HP:0000271;HP:0002213;HP:0002365;HP:0100545;HP:0000007;HP:0000563;HP:0000444;HP:0000387;HP:0002105;HP:0007029;HP:0001073;HP:0010318;HP:0002126;HP:0001373;HP:0001892;HP:0002619;HP:0001250;HP:0030009;HP:0000978;HP:0001773;HP:0006480;HP:0010648;HP:0000139;HP:0004937;HP:0000490;HP:0001537;HP:0007400;HP:0005692;HP:0002616;HP:0040197;HP:0000520;HP:0007392;HP:0030680;HP:0001582;HP:0012246;HP:0000822;HP:0100784;HP:0000951;HP:0002107;HP:0000316;HP:0001238;HP:0002652;HP:0002758;HP:0000508;HP:0000028;HP:0002650;HP:0002642;HP:0007495;HP:0001249;HP:0002138;HP:0007900;HP:0000411;HP:0001030;HP:0002621;HP:0002119;HP:0010719;HP:0000993;HP:0000506;HP:0001270;HP:0004372;HP:0012368;HP:0200055;HP:0001273;HP:0000347;HP:0001321;HP:0006323;HP:0005294;HP:0001075;HP:0001760;HP:0002076;HP:0001622;HP:0001842;HP:0000023;HP:0000286;HP:0000212;HP:0002326;HP:0000499;HP:0012518;HP:0000446;HP:0001654;HP:0000164;HP:0000963;HP:0001596;HP:0000540;HP:0008065;HP:0004322;HP:0011029;HP:0100543;HP:0000418;HP:0031157;HP:0000691;HP:0002093;HP:0001123;HP:0001374;HP:0002242;HP:0000496;HP:0000912;HP:0002705;HP:0100807;HP:0000015;HP:0000047;HP:0000670;HP:0002647;HP:0005244;HP:0009771;HP:0001482;HP:0000615;HP:0000750;HP:0004942;HP:0010535;HP:0004947;HP:0000278;HP:0000319;HP:0001627;HP:0005267;HP:0000276;HP:0002900;HP:0100578;HP:0100817;HP:0000322;HP:0000678;HP:0002363;HP:0000592;HP:0004970;HP:0000767;HP:0002500;HP:0100645;HP:0009906;HP:0001263;HP:0000006;HP:0000160;HP:0001269;HP:0002293;HP:0002350;HP:0002797;HP:0200042;HP:0001000;HP:0000230;HP:0006201;HP:0002170;HP:0001634,Heart/Cardiovasculature/Lymphatic,2349939;2243125;24922459;2365710;25907466;8098182;19695909;3162228;9050868,Cardiac,"EDS4A;EDSVASC, PMGEDSV",2201,2020-06-23T09:22:28Z
CRYAB,123590,"MYOPATHY, MYOFIBRILLAR, FATAL INFANTILE HYPERTONIC, ALPHA-B CRYSTALLIN-RELATED",613869,confirmed,biallelic,uncertain,HP:0002878;HP:0003678;HP:0000556;HP:0040081;HP:0000518;HP:0001265;HP:0003555;HP:0001639;HP:0100578;HP:0002063;HP:0000007;HP:0003694;HP:0003236;HP:0001638;HP:0009063;HP:0003557;HP:0002747;HP:0002460;HP:0002093;HP:0002355;HP:0100020;HP:0003198;HP:0000982;HP:0000006;HP:0001644;HP:0030225;HP:0001874;HP:0003677;HP:0003552;HP:0000519;HP:0009073;HP:0001653;HP:0003457;HP:0100299;HP:0003327;HP:0000407;HP:0003325;HP:0001371;HP:0002104;HP:0001349;HP:0001612;HP:0009027;HP:0000467;HP:0001115;HP:0009072;HP:0001618;HP:0003560;HP:0002015;HP:0003736;HP:0003458;HP:0003581,Heart/Cardiovasculature/Lymphatic,NA,Cardiac,"CMD1II;CRYA2, CTPP2, CTRCT16, HEL-S-101, HSPB5, MFM2",2389,2020-06-23T09:22:28Z
DES,125660,"MYOPATHY, MYOFIBRILLAR, 1, Desminopathy",601419,confirmed,monoallelic,uncertain,HP:0002014;HP:0005659;HP:0000007;HP:0002460;HP:0006673;HP:0003236;HP:0000407;HP:0001709;HP:0002600;HP:0001723;HP:0002747;HP:0009027;HP:0003704;HP:0100578;HP:0001662;HP:0003694;HP:0002355;HP:0005115;HP:0001645;HP:0001678;HP:0030192;HP:0001874;HP:0009049;HP:0030319;HP:0009053;HP:0000006;HP:0000982;HP:0006957;HP:0011663;HP:0003306;HP:0001762;HP:0005157;HP:0001639;HP:0003458;HP:0001644;HP:0003724;HP:0030196;HP:0002522;HP:0001635;HP:0002019;HP:0003457;HP:0003323;HP:0001283;HP:0003327;HP:0010628;HP:0003812;HP:0003198;HP:0000467;HP:0003722,Heart/Cardiovasculature/Lymphatic,11061256;10717012;9697706;10545598;11061256;19105189;10717012;17221859;1544366;2673923;16217025;25358400,Cardiac,"CDCD3;CMD1F, CSM1, CSM2, LGMD1D, LGMD1E, LGMD2R",2770,2020-06-23T09:22:28Z
FBN1,134797,MARFAN SYNDROME,154700,confirmed,monoallelic,uncertain,HP:0000414;HP:0100749;HP:0030680;HP:0000463;HP:0000518;HP:0003199;HP:0002119;HP:0000272;HP:0000767;HP:0001324;HP:0000268;HP:0002686;HP:0001629;HP:0001230;HP:0001783;HP:0002097;HP:0008081;HP:0001763;HP:0000485;HP:0001761;HP:0000486;HP:0000160;HP:0100625;HP:0005978;HP:0002240;HP:0001181;HP:0003196;HP:0007800;HP:0100578;HP:0000545;HP:0004279;HP:0005136;HP:0001713;HP:0003508;HP:0003026;HP:0002616;HP:0030799;HP:0003119;HP:0003179;HP:0200055;HP:0010579;HP:0011106;HP:0002002;HP:0001187;HP:0002647;HP:0004322;HP:0009778;HP:0003549;HP:0011968;HP:0100807;HP:0001072;HP:0001065;HP:0004298;HP:0000460;HP:0000572;HP:0001371;HP:0000348;HP:0008734;HP:0001635;HP:0000179;HP:0001265;HP:0001518;HP:0001765;HP:0005900;HP:0011220;HP:0001650;HP:0007328;HP:0000501;HP:0001334;HP:0001653;HP:0008124;HP:0000098;HP:0001646;HP:0009830;HP:0010049;HP:0000577;HP:0000534;HP:0000411;HP:0000586;HP:0100693;HP:0003312;HP:0001622;HP:0000505;HP:0001083;HP:0000275;HP:0001718;HP:0001166;HP:0002326;HP:0005112;HP:0030148;HP:0200146;HP:0000327;HP:0002105;HP:0000369;HP:0004872;HP:0012418;HP:0000774;HP:0100679;HP:0003011;HP:0000238;HP:0004933;HP:0001704;HP:0004970;HP:0005280;HP:0005180;HP:0000311;HP:0000343;HP:0002308;HP:0001537;HP:0002643;HP:0000023;HP:0001659;HP:0009901;HP:0004950;HP:0000319;HP:0010511;HP:0000822;HP:0001562;HP:0000490;HP:0009125;HP:0000974;HP:0002753;HP:0012499;HP:0002104;HP:0000508;HP:0000692;HP:0006482;HP:0001270;HP:0002751;HP:0000921;HP:0000316;HP:0030053;HP:0000028;HP:0001156;HP:0012771;HP:0100490;HP:0000768;HP:0100543;HP:0000303;HP:0001363;HP:0001519;HP:0000494;HP:0000527;HP:0001169;HP:0009768;HP:0001773;HP:0000218;HP:0000978;HP:0000407;HP:0040083;HP:0011800;HP:0007676;HP:0000762;HP:0012763;HP:0000347;HP:0030961;HP:0001640;HP:0005162;HP:0005930;HP:0001249;HP:0000506;HP:0000639;HP:0003510;HP:0001376;HP:0000278;HP:0002682;HP:0005692;HP:0002816;HP:0012759;HP:0002140;HP:0000189;HP:0000405;HP:0001609;HP:0000938;HP:0000944;HP:0011003;HP:0000248;HP:0000766;HP:0003088;HP:0002750;HP:0000358;HP:0003116;HP:0001634;HP:0001382;HP:0000885;HP:0100775;HP:0000965;HP:0001508;HP:0000293;HP:0002857;HP:0025586;HP:0003758;HP:0000646;HP:0002650;HP:0010318;HP:0000006;HP:0000426;HP:0001482;HP:0000276;HP:0001647;HP:0000256;HP:0000520;HP:0000565;HP:0003302;HP:0001642;HP:0009803;HP:0000525;HP:0006487;HP:0008065;HP:0001387;HP:0002107;HP:0001252;HP:0002823;HP:0000431;HP:0009918;HP:0000219;HP:0002705;HP:0003300;HP:0004944;HP:0000594;HP:0002020;HP:0000951;HP:0001297;HP:0002092;HP:0012163;HP:0002875;HP:0001677;HP:0008132;HP:0002007;HP:0000541;HP:0004927;HP:0001511;HP:0004959;HP:0003416;HP:0000678;HP:0004942;HP:0000787;HP:0002093;HP:0000252;HP:0002138;HP:0000618;HP:0001643;HP:0000973;HP:0001256;HP:0003042;HP:0002938;HP:0000592,Heart/Cardiovasculature/Lymphatic,8941093;12203992;7762551;8941093;9326947;12598898;15254584,Cardiac,"ACMICD;ECTOL1, FBN, GPHYSD2, MASS, MFLS, MFS1, OCTD, SGS, SSKS, WMS, WMS2",3603,2020-06-23T09:22:28Z
FHL1,300163,"EMERY-DREIFUSS MUSCULAR DYSTROPHY 6, X-LINKED, MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY",300696,confirmed,hemizygous,uncertain,HP:0001653;HP:0003236;HP:0001371;HP:0001605;HP:0003678;HP:0009473;HP:0008064;HP:0009042;HP:0000445;HP:0001419;HP:0003141;HP:0001678;HP:0011807;HP:0003581;HP:0008075;HP:0003198;HP:0001374;HP:0001714;HP:0002747;HP:0000336;HP:0001265;HP:0009125;HP:0001513;HP:0002996;HP:0001644;HP:0000494;HP:0001639;HP:0000278;HP:0001822;HP:0003307;HP:0008956;HP:0006785;HP:0030117;HP:0009027;HP:0005115;HP:0008948;HP:0002355;HP:0003704;HP:0002808;HP:0000339;HP:0000912;HP:0002093;HP:0005155;HP:0001288;HP:0003691;HP:0001315;HP:0000470;HP:0003202;HP:0001836;HP:0001417;HP:0008997;HP:0009054;HP:0001252;HP:0001638;HP:0003458;HP:0002359;HP:0001387;HP:0004631;HP:0011675;HP:0003557;HP:0000244;HP:0002155;HP:0008141;HP:0003306;HP:0002987;HP:0000369;HP:0000508;HP:0001169;HP:0008994;HP:0003701;HP:0040083;HP:0001645;HP:0000232;HP:0000358;HP:0000448;HP:0001284;HP:0002650;HP:0003715;HP:0000664;HP:0001423;HP:0001249;HP:0003676;HP:0007340;HP:0002515;HP:0003376;HP:0001608;HP:0001771;HP:0003805;HP:0000767;HP:0001821;HP:0003418;HP:0002486,Heart/Cardiovasculature/Lymphatic,20186852,Cardiac,"FCMSU;FHL-1, FHL1A, FHL1B, FLH1A, KYOT, RBMX1A, RBMX1B, SLIM, SLIM-1, SLIM1, SLIMMER, XMPMA",3702,2020-06-23T09:22:28Z
FLNC,102565,"MYOPATHY, MYOFIBRILLAR, 5",609524,confirmed,monoallelic,uncertain,HP:0001265;HP:0002015;HP:0030319;HP:0001635;HP:0003551;HP:0009053;HP:0003555;HP:0000759;HP:0001653;HP:0002747;HP:0031295;HP:0002094;HP:0012515;HP:0002515;HP:0003677;HP:0003715;HP:0001626;HP:0030200;HP:0008180;HP:0001430;HP:0001638;HP:0009027;HP:0002600;HP:0100303;HP:0003198;HP:0003202;HP:0031177;HP:0008994;HP:0002355;HP:0005110;HP:0007149;HP:0002093;HP:0008954;HP:0003474;HP:0002540;HP:0003701;HP:0003738;HP:0006389;HP:0009046;HP:0008959;HP:0001324;HP:0000006;HP:0002141;HP:0006135;HP:0008944;HP:0003236;HP:0003581,Heart/Cardiovasculature/Lymphatic,NA,Cardiac,"ABP-280;ABP280A, ABPA, ABPL, CMH26, FLN2, MFM5, MPD4, RCM5",3756,2020-06-23T09:22:28Z
FXN,606829,FRIEDREICH ATAXIA 1,229300,confirmed,biallelic,uncertain,HP:0000649;HP:0002070;HP:0000570;HP:0002546;HP:0002495;HP:0000365;HP:0010831;HP:0001260;HP:0003487;HP:0001760;HP:0002522;HP:0003116;HP:0001639;HP:0003431;HP:0001324;HP:0002072;HP:0003232;HP:0003448;HP:0001123;HP:0002015;HP:0003621;HP:0007010;HP:0001257;HP:0009130;HP:0001635;HP:0001251;HP:0000819;HP:0010873;HP:0003115;HP:0001638;HP:0002066;HP:0002141;HP:0007663;HP:0000648;HP:0001761;HP:0003209;HP:0030183;HP:0002080;HP:0002527;HP:0001332;HP:0001310;HP:0002650;HP:0007078;HP:0002839;HP:0000505;HP:0002540;HP:0000763;HP:0000007;HP:0000639;HP:0003390,Heart/Cardiovasculature/Lymphatic,8596916;11030757;8841185;9266741;21531789;11175786;11714098,Cardiac,"CyaY;FA, FARR, FRDA, X25",3951,2020-06-23T09:22:28Z
GAA,606800,"GLYCOGEN STORAGE DISEASE II, Pompe disease",232300,confirmed,biallelic,uncertain,HP:0000158;HP:0000365;HP:0003701;HP:0001945;HP:0000007;HP:0002205;HP:0004944;HP:0011400;HP:0003236;HP:0002093;HP:0001744;HP:0001284;HP:0005165;HP:0001252;HP:0001640;HP:0001716;HP:0002094;HP:0002240;HP:0006597;HP:0001324;HP:0001290;HP:0002747;HP:0003725,Heart/Cardiovasculature/Lymphatic,17056254;7981676;8094613;20882352;14643388;7717400;19588081;9535769;4286143;3108320;10973860;21484825;1856189;9668092;16860134;11991748,Cardiac,LYAG,4065,2020-06-23T09:22:28Z
GLA,300644,"FABRY DISEASE, CARDIAC VARIANT",301500,confirmed,X-linked dominant,uncertain,HP:0000962;HP:0002823;HP:0011675;HP:0000083;HP:0000524;HP:0004306;HP:0000100;HP:0002097;HP:0000407;HP:0005144;HP:0001419;HP:0012702;HP:0000966;HP:0100543;HP:0002376;HP:0001646;HP:0002380;HP:0000280;HP:0004349;HP:0000739;HP:0006536;HP:0000518;HP:0001678;HP:0000716;HP:0002094;HP:0003394;HP:0007957;HP:0100579;HP:0001014;HP:0001131;HP:0001004;HP:0002014;HP:0003077;HP:0000790;HP:0004322;HP:0000708;HP:0012332;HP:0002321;HP:0002326;HP:0000112;HP:0000873;HP:0003119;HP:0000179;HP:0000365;HP:0001903;HP:0002013;HP:0001637;HP:0002829;HP:0001653;HP:0100820;HP:0000823;HP:0001945;HP:0000091;HP:0000093;HP:0001635;HP:0001369;HP:0002571;HP:0000648;HP:0100585;HP:0002024;HP:0006510;HP:0011710;HP:0002039;HP:0003621;HP:0003326;HP:0001639;HP:0002093;HP:0001482;HP:0001681;HP:0002027;HP:0001155;HP:0001250;HP:0001712;HP:0002018;HP:0012378;HP:0003401;HP:0001658;HP:0002017;HP:0000822,Heart/Cardiovasculature/Lymphatic,18205205;10666480;2539398;6020428;9122231;24094090;26937390,Cardiac,GALA,4296,2020-06-23T09:22:28Z
HRAS,190020,COSTELLO SYNDROME,218040,confirmed,monoallelic,uncertain,HP:0007477;HP:0000238;HP:0002757;HP:0000232;HP:0000568;HP:0012081;HP:0002878;HP:0000324;HP:0001531;HP:0000682;HP:0000337;HP:0000962;HP:0005600;HP:0000956;HP:0012056;HP:0004322;HP:0000085;HP:0001762;HP:0000286;HP:0002007;HP:0009465;HP:0008872;HP:0011220;HP:0000474;HP:0000369;HP:0009748;HP:0000028;HP:0000316;HP:0000293;HP:0000083;HP:0002059;HP:0006191;HP:0000343;HP:0100729;HP:0000358;HP:0001428;HP:0002107;HP:0001548;HP:0001609;HP:0006482;HP:0010759;HP:0000179;HP:0001231;HP:0001642;HP:0001622;HP:0001252;HP:0000995;HP:0000508;HP:0001263;HP:0007957;HP:0000260;HP:0001250;HP:0000612;HP:0001596;HP:0009720;HP:0005692;HP:0000269;HP:0000589;HP:0000602;HP:0005989;HP:0011073;HP:0000504;HP:0010817;HP:0000768;HP:0002093;HP:0002119;HP:0000455;HP:0002751;HP:0002862;HP:0002816;HP:0001561;HP:0002021;HP:0001939;HP:0007400;HP:0001582;HP:0000463;HP:0001771;HP:0000470;HP:0001629;HP:0006731;HP:0002132;HP:0010815;HP:0000629;HP:0031842;HP:0001510;HP:0000347;HP:0000307;HP:0000368;HP:0001869;HP:0025510;HP:0002224;HP:0007370;HP:0000194;HP:0001552;HP:0001631;HP:0004422;HP:0001680;HP:0000506;HP:0001187;HP:0012740;HP:0001249;HP:0000951;HP:0001048;HP:0001528;HP:0002120;HP:0000465;HP:0001808;HP:0001943;HP:0000938;HP:0001347;HP:0000256;HP:0001357;HP:0002353;HP:0002020;HP:0002859;HP:0003109;HP:0003422;HP:0011675;HP:0000006;HP:0002002;HP:0007360;HP:0000164;HP:0100555;HP:0100679;HP:0001010;HP:0000486;HP:0008064;HP:0000418;HP:0009588;HP:0005280;HP:0000494;HP:0002671;HP:0002779;HP:0000311;HP:0007206;HP:0001814;HP:0003577;HP:0001315;HP:0001634;HP:0001305;HP:0006740;HP:0001442;HP:0000218;HP:0001639;HP:0002870;HP:0002780;HP:0000267;HP:0004690;HP:0002514;HP:0003745;HP:0000189;HP:0001699;HP:0001508;HP:0000826;HP:0001167;HP:0001598;HP:0000478;HP:0001595;HP:0003196;HP:0003764;HP:0001028;HP:0001800;HP:0002033;HP:0000953;HP:0004912;HP:0007099;HP:0008070;HP:0001816;HP:0000280;HP:0001054;HP:0000158;HP:0001780;HP:0007440;HP:0000563;HP:0002212;HP:0002996;HP:0040198;HP:0002750,Heart/Cardiovasculature/Lymphatic,26888048;25677562;25914166;23335589;22495892;25367099;17979197;23875798;19995790;19035362;21850009;24057668,Cardiac,"C-BAS/HAS;C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, KRAS, KRAS2, Ki-Ras, RASH1, RASK2, c-K-ras, c-Ki-ras, p21ras",5173,2020-06-23T09:22:28Z
KCNH2,152427,LONG QT SYNDROME 2,613688,confirmed,monoallelic,uncertain,HP:0001662;HP:0001664;HP:0012232;HP:0001425;HP:0000006;HP:0001645;HP:0001962;HP:0001695;HP:0004308;HP:0001279;HP:0001663;HP:0005110;HP:0001657;HP:0001678,Heart/Cardiovasculature/Lymphatic,7736582;9012748;10753933;19070294;10973849;12612061;15840476;15760896;16432067;18551196;20850565;19841300;21240260;21109023;21536673;21458413;23997099;23303164;24213244;24606995;28433559,Cardiac,"ERG-1;ERG1, H-ERG, HERG, HERG1, Kv11.1, LQT2, SQT1",6251,2020-06-23T09:22:28Z
KCNQ1,607542,LONG QT SYNDROME 1,192500,confirmed,monoallelic,uncertain,HP:0001548;HP:0001727;HP:0008523;HP:0003247;HP:0001297;HP:0006277;HP:0001662;HP:0002884;HP:0001539;HP:0000803;HP:0000150;HP:0005616;HP:0000239;HP:0000269;HP:0000105;HP:0002667;HP:0001664;HP:0005110;HP:0001649;HP:0000158;HP:0000787;HP:0001279;HP:0001645;HP:0001638;HP:0000007;HP:0001052;HP:0008186;HP:0001528;HP:0000598;HP:0000076;HP:0000006;HP:0001998;HP:0001305;HP:0001657;HP:0011800;HP:0001425;HP:0001663;HP:0001678;HP:0005487;HP:0000121;HP:0000280;HP:0002240;HP:0008527;HP:0001540;HP:0001962;HP:0004308;HP:0006744;HP:0000028;HP:0000364;HP:0001640;HP:0012232;HP:0000520,Heart/Cardiovasculature/Lymphatic,8528244;8872472;8900283;9108097;9323054;9312006;10220144;11216980;15358555;15498462;15950200;16246960;17655673;17360457;18464931;19841300;25520292;20421371;22739119;22095730;25139741;25889101,Cardiac,"ATFB1, ATFB3, JLNS1, KCNA8, KCNA9, KVLQT1, Kv1.9, Kv7.1, LQT, LQT1, RWS, SQT2, WRS",6294,2020-06-23T09:22:28Z
KRAS,190070,NOONAN SYNDROME 3,609942,confirmed,monoallelic,uncertain,HP:0000938;HP:0001274;HP:0004389;HP:0008749;HP:0002223;HP:0000768;HP:0000737;HP:0001263;HP:0002254;HP:0000316;HP:0003006;HP:0100576;HP:0005280;HP:0025318;HP:0100592;HP:0001878;HP:0000486;HP:0008065;HP:0002664;HP:0100660;HP:0002217;HP:0002967;HP:0002652;HP:0001824;HP:0002300;HP:0001909;HP:0002019;HP:0007360;HP:0002357;HP:0003401;HP:0000974;HP:0012378;HP:0100555;HP:0000358;HP:0000238;HP:0003196;HP:0002213;HP:0000006;HP:0011800;HP:0001425;HP:0000256;HP:0011073;HP:0001140;HP:0001641;HP:0004912;HP:0007370;HP:0000293;HP:0005249;HP:0010622;HP:0001276;HP:0001260;HP:0007018;HP:0000085;HP:0000767;HP:0001642;HP:0004415;HP:0000598;HP:0002086;HP:0000506;HP:0000014;HP:0004422;HP:0012745;HP:0000568;HP:0410067;HP:0012432;HP:0000280;HP:0000218;HP:0005523;HP:0007392;HP:0001357;HP:0001428;HP:0000348;HP:0002408;HP:0008064;HP:0001028;HP:0003418;HP:0007565;HP:0000268;HP:0011611;HP:0000708;HP:0003764;HP:0007957;HP:0100625;HP:0001876;HP:0002960;HP:0006725;HP:0008070;HP:0030680;HP:0001679;HP:0200102;HP:0002251;HP:0005281;HP:0002353;HP:0002017;HP:0001704;HP:0001548;HP:0012157;HP:0001052;HP:0002059;HP:0000325;HP:0002240;HP:0002120;HP:0009720;HP:0001780;HP:0000176;HP:0002162;HP:0006482;HP:0012209;HP:0002797;HP:0000269;HP:0000470;HP:0000639;HP:0000039;HP:0030799;HP:0002861;HP:0004493;HP:0000324;HP:0002212;HP:0009891;HP:0003477;HP:0002974;HP:0100835;HP:0000581;HP:0000179;HP:0000204;HP:0002763;HP:0006191;HP:0002893;HP:0002167;HP:0001288;HP:0001167;HP:0000929;HP:0100743;HP:0012062;HP:0001510;HP:0000520;HP:0001596;HP:0000400;HP:0000952;HP:0000502;HP:0001482;HP:0000175;HP:0001561;HP:0001305;HP:0001631;HP:0000474;HP:0002997;HP:0001347;HP:0100840;HP:0001743;HP:0006740;HP:0004374;HP:0000504;HP:0000044;HP:0001528;HP:0009125;HP:0005692;HP:0000126;HP:0000347;HP:0000612;HP:0003002;HP:0001048;HP:0040188;HP:0001680;HP:0002205;HP:0002729;HP:0002650;HP:0000337;HP:0001973;HP:0002299;HP:0000982;HP:0001250;HP:0000407;HP:0001626;HP:0011968;HP:0002063;HP:0001875;HP:0000267;HP:0100031;HP:0002039;HP:0002376;HP:0008391;HP:0001003;HP:0001634;HP:0002894;HP:0012334;HP:0000028;HP:0000505;HP:0002027;HP:0006610;HP:0002092;HP:0002757;HP:0003422;HP:0010669;HP:0000508;HP:0000991;HP:0001123;HP:0100615;HP:0001643;HP:0100761;HP:0001508;HP:0002514;HP:0000602;HP:0001999;HP:0000637;HP:0012311;HP:0100763;HP:0003552;HP:0011869;HP:0001402;HP:0002719;HP:0003470;HP:0001639;HP:0000465;HP:0002516;HP:0000716;HP:0000995;HP:0002731;HP:0002750;HP:0010815;HP:0002816;HP:0002896;HP:0001331;HP:0003109;HP:0001442;HP:0001531;HP:0000036;HP:0000625;HP:0002445;HP:0000007;HP:0001257;HP:0008872;HP:0001269;HP:0007440;HP:0007400;HP:0010318;HP:0001522;HP:0007477;HP:0010529;HP:0002910;HP:0004279;HP:0012174;HP:0000365;HP:0001582;HP:0002751;HP:0001156;HP:0000739;HP:0012719;HP:0100827;HP:0001004;HP:0002665;HP:0002582;HP:0012639;HP:0000819;HP:0001315;HP:0000494;HP:0011024;HP:0001744;HP:0002301;HP:0010817;HP:0001324;HP:0002132;HP:0000488;HP:0001738;HP:0000943;HP:0011362;HP:0002671;HP:0000738;HP:0002007;HP:0100613;HP:0000078;HP:0005306;HP:0004396;HP:0001892;HP:0000826;HP:0007206;HP:0200008;HP:0011675;HP:0010786;HP:0001249;HP:0000478;HP:0000545;HP:0010702;HP:0002076;HP:0000271;HP:0001012;HP:0000369;HP:0001252;HP:0000589;HP:0004322;HP:0004442;HP:0003003;HP:0000276;HP:0010526;HP:0004808;HP:0002354;HP:0000047;HP:0003745;HP:0000391;HP:0000958;HP:0007256;HP:0000499;HP:0010524;HP:0001928;HP:0011381;HP:0000069;HP:0004209;HP:0001010;HP:0002024;HP:0000368;HP:0002208;HP:0012759;HP:0001654;HP:0002119;HP:0000476;HP:0000962;HP:0000343;HP:0001629;HP:0002239;HP:0001371;HP:0100571;HP:0011995;HP:0001622;HP:0000648;HP:0002381;HP:0000614;HP:0000286;HP:0001433;HP:0001650;HP:0002716;HP:0002857;HP:0006519;HP:0000492;HP:0000463;HP:0012126,Heart/Cardiovasculature/Lymphatic,16474405;16773572;19396835;24382853;23875798;17875937;22302539;25359213,Cardiac,"C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, KI-RAS, KRAS1, KRAS2, NS, NS3, RALD, RASK2, c-Ki-ras2",6407,2020-06-23T09:22:28Z
LAMP2,309060,DANON DISEASE,300257,confirmed,X-linked dominant,uncertain,HP:0000505;HP:0001700;HP:0001761;HP:0001640;HP:0003710;HP:0001716;HP:0002375;HP:0011675;HP:0003546;HP:0003236;HP:0003458;HP:0001263;HP:0001644;HP:0001685;HP:0001639;HP:0003700;HP:0006543;HP:0003701;HP:0100543;HP:0001288;HP:0010547;HP:0001249;HP:0001423,Heart/Cardiovasculature/Lymphatic,15253947;15673802;21896538;27532257;7488019;10448712;16604439;10972293,Cardiac,"CD107b, LAMP-2, LAMPB, LGP-96, LGP110",6501,2020-06-23T09:22:28Z
MAP2K1,176872,CARDIOFACIOCUTANEOUS SYNDROME 3,615279,confirmed,monoallelic,uncertain,HP:0002213;HP:0000028;HP:0001642;HP:0001249;HP:0003251;HP:0000478;HP:0006191;HP:0002120;HP:0000343;HP:0002167;HP:0001003;HP:0007440;HP:0010669;HP:0001643;HP:0002299;HP:0001531;HP:0000126;HP:0030680;HP:0002650;HP:0002007;HP:0008872;HP:0000154;HP:0001892;HP:0001654;HP:0008050;HP:0001250;HP:0000637;HP:0000639;HP:0000508;HP:0000974;HP:0008064;HP:0009891;HP:0000975;HP:0001263;HP:0009466;HP:0001639;HP:0001622;HP:0000135;HP:0000280;HP:0001631;HP:0001627;HP:0000256;HP:0000286;HP:0000958;HP:0030084;HP:0002353;HP:0100769;HP:0007565;HP:0000347;HP:0000325;HP:0000391;HP:0004349;HP:0000465;HP:0000316;HP:0001508;HP:0001680;HP:0001004;HP:0002705;HP:0000470;HP:0001156;HP:0001252;HP:0004859;HP:0000176;HP:0000545;HP:0008070;HP:0100840;HP:0002212;HP:0004422;HP:0000368;HP:0001048;HP:0001260;HP:0000767;HP:0000348;HP:0001425;HP:0002751;HP:0008391;HP:0001582;HP:0008897;HP:0040180;HP:0000238;HP:0005280;HP:0002857;HP:0000486;HP:0000915;HP:0000648;HP:0002664;HP:0000218;HP:0000407;HP:0002967;HP:0000400;HP:0000504;HP:0100697;HP:0000006;HP:0000293;HP:0002997;HP:0008357;HP:0012719;HP:0000917;HP:0007392;HP:0200102;HP:0002217;HP:0002046;HP:0001629;HP:0000463;HP:0000476;HP:0002162;HP:0000689;HP:0000914;HP:0000982;HP:0000276;HP:0004322;HP:0000925;HP:0003196;HP:0004841;HP:0000499;HP:0000494;HP:0000962;HP:0011024,Heart/Cardiovasculature/Lymphatic,16439621;19156172;23875798;18413255;17981815;25049390,Cardiac,"CFC3, MAPKK1, MEK1, MKK1, PRKMK1",6840,2020-06-23T09:22:28Z
