gene symbol,gene mim,disease name,disease mim,DDD category,allelic requirement,mutation consequence,phenotypes,organ specificity list,pmids,panel,prev symbols,hgnc id,gene disease pair entry date
MYH7,160760,"CARDIOMYOPATHY, HYPERTROPHIC, 1",192600,confirmed,monoallelic,all missense/in frame,HP:0001425;HP:0030091;HP:0005162;HP:0005110;HP:0010628;HP:0009054;HP:0011808;HP:0000602;HP:0001508;HP:0001680;HP:0000822;HP:0003198;HP:0008994;HP:0002877;HP:0011711;HP:0003700;HP:0002792;HP:0001315;HP:0001763;HP:0003457;HP:0011712;HP:0001761;HP:0003323;HP:0009055;HP:0001288;HP:0002421;HP:0000308;HP:0010505;HP:0004889;HP:0001626;HP:0003029;HP:0004306;HP:0030237;HP:0003547;HP:0001647;HP:0031108;HP:0011916;HP:0011675;HP:0001644;HP:0006510;HP:0000275;HP:0001667;HP:0003121;HP:0003445;HP:0003376;HP:0012378;HP:0002015;HP:0003674;HP:0030680;HP:0100297;HP:0003789;HP:0000006;HP:0008956;HP:0001374;HP:0009129;HP:0002938;HP:0001671;HP:0000276;HP:0003803;HP:0003701;HP:0001622;HP:0005991;HP:0000982;HP:0004420;HP:0003741;HP:0000508;HP:0003394;HP:0000303;HP:0009072;HP:0030148;HP:0003200;HP:0002515;HP:0004322;HP:0003707;HP:0004308;HP:0001430;HP:0001620;HP:0002111;HP:0009031;HP:0003324;HP:0000467;HP:0006467;HP:0002460;HP:0003484;HP:0003828;HP:0011968;HP:0003593;HP:0001385;HP:0001643;HP:0002355;HP:0001283;HP:0030319;HP:0003677;HP:0003307;HP:0001645;HP:0008180;HP:0001319;HP:0003805;HP:0001874;HP:0005180;HP:0003236;HP:0006251;HP:0000407;HP:0003697;HP:0001708;HP:0009058;HP:0030664;HP:0003327;HP:0030682;HP:0003555;HP:0011575;HP:0001634;HP:0003557;HP:0032341;HP:0001436;HP:0003704;HP:0003577;HP:0012507;HP:0000218;HP:0003458;HP:0008800;HP:0003306;HP:0001612;HP:0008316;HP:0003687;HP:0002747;HP:0002093;HP:0001249;HP:0002828;HP:0009053;HP:0002058;HP:0008963;HP:0003755;HP:0100578;HP:0001631;HP:0004696;HP:0004971;HP:0003724;HP:0001558;HP:0003691;HP:0002194;HP:0003326;HP:0011463;HP:0001635;HP:0009027;HP:0009077;HP:0002650;HP:0001290;HP:0001639;HP:0002637;HP:0100295;HP:0000007;HP:0100749;HP:0010316,Heart/Cardiovasculature/Lymphatic,1430197;25189259;1975517;2144212;1944483;1552912;15856146;1944483;2144212;1975517;27532257;23798412;1634614;23290139;25209314;8614836,Cardiac,"CMD1S, CMH1, MPD1, MYHCB, SPMD, SPMM",7577 ,2020-05-07T10:45:19Z
MYL2,160781,"CARDIOMYOPATHY, HYPERTROPHIC, 10",608758,possible,monoallelic,all missense/in frame,HP:0008180;HP:0001558;HP:0001670;HP:0000767;HP:0004755;HP:0001712;HP:0004322;HP:0008981;HP:0011807;HP:0001644;HP:0001508;HP:0000602;HP:0003198;HP:0002515;HP:0002747;HP:0001249;HP:0030192;HP:0003324;HP:0001663;HP:0006380;HP:0003458;HP:0000218;HP:0002751;HP:0002792;HP:0000276;HP:0001639;HP:0000006;HP:0001561;HP:0003273;HP:0006466;HP:0000347;HP:0002205;HP:0012785;HP:0100749;HP:0001315;HP:0002987;HP:0001612;HP:0001374;HP:0000508;HP:0011968;HP:0001762;HP:0002033;HP:0003307;HP:0001645;HP:0010804;HP:0010872;HP:0002094;HP:0001388;HP:0002089;HP:0001270;HP:0004756;HP:0000028;HP:0001962;HP:0003691;HP:0002321;HP:0001252;HP:0005144,Heart/Cardiovasculature/Lymphatic,24111713;9535554;12404107;12818575;12707239;25351510;8673105;21896538;26497160;27532257;11102452;7236212;8316857;16837010;16076902;18987303;27378946;15829506,Cardiac,"CMH10, MLC-2s/v, MLC2",7583 ,2020-05-07T10:45:19Z
MYL3,160790,"CARDIOMYOPATHY, HYPERTROPHIC, 8",608751,confirmed,monoallelic,all missense/in frame,HP:0001645;HP:0000006;HP:0001962;HP:0002875;HP:0010872;HP:0001723;HP:0031295;HP:0000007;HP:0001695;HP:0001635;HP:0001663;HP:0001712;HP:0001639;HP:0006685,Heart/Cardiovasculature/Lymphatic,8673105;16267253;18409188;26443374;25611685;11174330;12707239;21239446;23426552;26779504;27483260;19035361;25086479;18403758;27532257;21262909;16675844;8417110;9927691,Cardiac,"CMH8, MLC-lV/sb, MLC1SB, MLC1V, VLC1, VLCl",7584 ,2020-05-07T10:45:19Z
MYLK,600922,"AORTIC ANEURYSM FAMILIAL THORACIC, 7",613780,confirmed,monoallelic,loss of function,HP:0004933;HP:0030680;HP:0003549;HP:0001643;HP:0000766;HP:0001640;HP:0002326;HP:0002107;HP:0000278;HP:0200146;HP:0004388;HP:0001677;HP:0000072;HP:0001297;HP:0000822;HP:0002875;HP:0001166;HP:0000003;HP:0000965;HP:0001539;HP:0002705;HP:0005162;HP:0000978;HP:0002017;HP:0002686;HP:0000006;HP:0100544;HP:0004942;HP:0100771;HP:0003270;HP:0002566;HP:0002616;HP:0000098;HP:0011024;HP:0002138;HP:0004959;HP:0011106;HP:0004944;HP:0012499;HP:0001537;HP:0012163;HP:0100775;HP:0002650;HP:0012763;HP:0001522;HP:0100749;HP:0001561;HP:0100806;HP:0001647;HP:0002140;HP:0000525;HP:0002105;HP:0000021;HP:0004950;HP:0001659;HP:0000028;HP:0000316;HP:0002647;HP:0005112;HP:0000023;HP:0001763,Heart/Cardiovasculature/Lymphatic,21055718;26188975;25907466;23362260;23482558;26703474,Cardiac,"AAT7, KRP, MLCK, MLCK1, MLCK108, MLCK210, MSTP083, MYLK1, smMLCK",7590 ,2020-05-07T10:45:19Z
MYLK2,606566,"CARDIOMYOPATHY, HYPERTROPHIC, 1, DIGENIC",192600,possible,monoallelic,all missense/in frame,HP:0001939;HP:0001635;HP:0001682;HP:0011675;HP:0001670,Heart/Cardiovasculature/Lymphatic,11733062;18202317;21696541;11029314;11733062;18202317;18474588;10655107,Cardiac,NA,16243 ,2020-05-07T10:45:19Z
MYOM1,603508,"CARDIOMYOPATHY, HYPERTROPHIC",No disease mim,possible,biallelic,all missense/in frame,NA,Heart/Cardiovasculature/Lymphatic,21256114;21069531,Cardiac,NA,7613 ,2020-05-07T10:45:19Z
MYOZ2,605602,"CARDIOMYOPATHY, HYPERTROPHIC, 16",613838,possible,monoallelic,all missense/in frame,HP:0000006;HP:0001670;HP:0004756;HP:0005110;HP:0001712;HP:0011713,Heart/Cardiovasculature/Lymphatic,17347475;18591919;11114196;22987565,Cardiac,"C4orf5, CMH16, CS-1, FATZ-2",1330 ,2020-05-07T10:45:19Z
MYPN,608517,"CARDIOMYOPATHY, HYPERTROPHIC 22, FAMILIAL RESTRICTIVE 4,  DILATED, 1KK ",615248,possible,monoallelic,loss of function,HP:0000006;HP:0000347;HP:0000982;HP:0001638;HP:0001762;HP:0001284;HP:0001634;HP:0000007;HP:0000407;HP:0002747;HP:0008081;HP:0002515;HP:0001371;HP:0006673;HP:0007010;HP:0100578;HP:0001611;HP:0003458;HP:0005110;HP:0040083;HP:0003391;HP:0009055;HP:0001623;HP:0001712;HP:0003236;HP:0001533;HP:0005144;HP:0002804;HP:0001874;HP:0003557;HP:0001315;HP:0001644;HP:0003198;HP:0001653;HP:0003690;HP:0002943;HP:0000276;HP:0001561;HP:0000218;HP:0011703;HP:0009046;HP:0000774;HP:0010628;HP:0001989;HP:0008180;HP:0002068;HP:0003457;HP:0003388;HP:0002067;HP:0030192;HP:0000508;HP:0002650;HP:0001763;HP:0002355;HP:0030200;HP:0002938;HP:0003551;HP:0007210;HP:0000275;HP:0001635;HP:0002483;HP:0003677;HP:0003552;HP:0003798;HP:0002616;HP:0002312;HP:0000467;HP:0002792;HP:0001265;HP:0004303;HP:0002421;HP:0000316;HP:0009058;HP:0001290;HP:0007110;HP:0003700;HP:0003546;HP:0007340;HP:0001761;HP:0040081;HP:0000767;HP:0002359;HP:0001349;HP:0003306;HP:0003691;HP:0011968;HP:0003803;HP:0001270;HP:0001639,Heart/Cardiovasculature/Lymphatic,22286171;22286171;11309420;11309420;22286171,Cardiac,"CMD1DD, CMH22, MYOP, NEM11, RCM4",23246 ,2020-05-07T10:45:19Z
NEXN,613121,"CARDIOMYOPATHY, HYPERTROPHIC, 20",613876,possible,monoallelic,all missense/in frame,HP:0001712;HP:0000407;HP:0003198;HP:0100578;HP:0003457;HP:0000006;HP:0000982;HP:0001638;HP:0001644;HP:0005110;HP:0001874;HP:0003236,Heart/Cardiovasculature/Lymphatic,20970104;27532257;19881492,Cardiac,"CMH20, NELIN",29557 ,2020-05-07T10:45:19Z
OBSCN,608616,"CARDIOMYOPATHY, HYPERTROPHIC",No disease mim,possible,monoallelic,loss of function,NA,Heart/Cardiovasculature/Lymphatic,17716621;26573135;11448995;16205939,Cardiac,NA,15719 ,2020-05-07T10:45:19Z
PDLIM3,605889,"CARDIOMYOPATHY, HYPERTROPHIC",No disease mim,possible,monoallelic,loss of function,NA,Heart/Cardiovasculature/Lymphatic,20801532;9334352,Cardiac,NA,20767 ,2020-05-07T10:45:19Z
RYR2,180902, ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 2,600996,possible,monoallelic,loss of function,HP:0002321;HP:0004308;HP:0006698;HP:0001645;HP:0004758;HP:0001279;HP:0001250;HP:0025478;HP:0001699;HP:0004756;HP:0005162;HP:0011663;HP:0005110;HP:0000006,Heart/Cardiovasculature/Lymphatic,11208676;27988446;11157710;10830164;2380170;12837242;12169647;21768539;18483626,Cardiac,"ARVC2;ARVD2, RYR-2, RyR, VTSIP",10484 ,2020-05-07T10:45:19Z
SMAD3,603109,LOEYS-DIETZ SYNDROME 3,613795,confirmed,monoallelic,loss of function,HP:0002105;HP:0001659;HP:0100490;HP:0004950;HP:0100749;HP:0001647;HP:0001762;HP:0000023;HP:0005294;HP:0005116;HP:0004942;HP:0000768;HP:0000316;HP:0100775;HP:0000978;HP:0004268;HP:0008419;HP:0001075;HP:0003302;HP:0002140;HP:0012499;HP:0012763;HP:0005110;HP:0002686;HP:0001388;HP:0001699;HP:0001643;HP:0002315;HP:0010648;HP:0004944;HP:0000939;HP:0010646;HP:0011645;HP:0001166;HP:0002617;HP:0002138;HP:0003549;HP:0000175;HP:0001363;HP:0005162;HP:0002875;HP:0002705;HP:0001519;HP:0002616;HP:0011106;HP:0001640;HP:0012432;HP:0001537;HP:0001642;HP:0000689;HP:0001634;HP:0001712;HP:0001297;HP:0000348;HP:0200146;HP:0000965;HP:0001065;HP:0001083;HP:0002650;HP:0000520;HP:0002107;HP:0002076;HP:0000276;HP:0010886;HP:0004959;HP:0001627;HP:0000278;HP:0012385;HP:0000822;HP:0000193;HP:0005112;HP:0006687;HP:0000766;HP:0000268;HP:0000767;HP:0002326;HP:0000272;HP:0000006;HP:0001677;HP:0000577;HP:0002758;HP:0005086;HP:0000518;HP:0001763;HP:0003179;HP:0004933;HP:0012163;HP:0002619;HP:0410151;HP:0000139;HP:0001653;HP:0000218;HP:0025487;HP:0002647;HP:0000977;HP:0008843;HP:0000098;HP:0000525;HP:0000987,Heart/Cardiovasculature/Lymphatic,23272854;21778426;21217753;23782924;23585475,Cardiac,"HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3",6769 ,2020-05-07T10:45:19Z
TCAP,604488,"CARDIOMYOPATHY, HYPERTROPHIC, 25",607487,possible,monoallelic,all missense/in frame,HP:0008944;HP:0009046;HP:0002355;HP:0003805;HP:0003557;HP:0002522;HP:0003236;HP:0008981;HP:0009053;HP:0000006;HP:0100578;HP:0000982;HP:0001716;HP:0008994;HP:0003560;HP:0000407;HP:0008948;HP:0008997;HP:0003551;HP:0003198;HP:0000007;HP:0001644;HP:0001874;HP:0003457;HP:0009025;HP:0001712;HP:0009027,Heart/Cardiovasculature/Lymphatic,15582318;16352453;12507422;9350988,Cardiac,"CMD1N, CMH25, LGMD2G, LGMDR7, T-cap, TELE, telethonin",11610 ,2020-05-07T10:45:19Z
TGFB2,190220,LOEYS-DIETZ SYNDROME 4,614816,confirmed,monoallelic,loss of function,HP:0002107;HP:0002705;HP:0004950;HP:0001083;HP:0000006;HP:0002097;HP:0002616;HP:0001640;HP:0005162;HP:0011106;HP:0002647;HP:0001659;HP:0012763;HP:0001677;HP:0003549;HP:0005112;HP:0000023;HP:0000766;HP:0002326;HP:0002875;HP:0005692;HP:0005116;HP:0000278;HP:0000822;HP:0001634;HP:0001763;HP:0000978;HP:0001762;HP:0002140;HP:0001297;HP:0000525;HP:0004944;HP:0100775;HP:0000218;HP:0000316;HP:0000974;HP:0001647;HP:0003302;HP:0100749;HP:0001643;HP:0012499;HP:0000098;HP:0002650;HP:0012163;HP:0002105;HP:0410151;HP:0000965;HP:0001166;HP:0000494;HP:0001065;HP:0002138;HP:0004933;HP:0004959;HP:0200146;HP:0002686;HP:0012532,Heart/Cardiovasculature/Lymphatic,22772368;22772371,Cardiac,"G-TSF, LDS4, TGF-beta2",11768 ,2020-05-07T10:45:19Z
TNNC1,191040,"CARDIOMYOPATHY, HYPERTROPHIC, 13",613243,probable,monoallelic,loss of function,HP:0011712;HP:0012250;HP:0001279;HP:0100578;HP:0005110;HP:0003198;HP:0000982;HP:0001644;HP:0200128;HP:0001639;HP:0001874;HP:0000006;HP:0000407;HP:0001663;HP:0011711;HP:0100749;HP:0003236;HP:0002094;HP:0003457,Heart/Cardiovasculature/Lymphatic,18572189;21262074;11385718;22815480;26779504;16302972;24260207;20566645;26976709;26341255;26304555;20925115,Cardiac,"CMD1Z, CMH13, TN-C, TNC, TNNC",11943 ,2020-05-07T10:45:19Z
TNNI3,191044,"CARDIOMYOPATHY, HYPERTROPHIC, 7",613690,confirmed,monoallelic,all missense/in frame,HP:0100578;HP:0000006;HP:0005110;HP:0031295;HP:0001874;HP:0001723;HP:0003198;HP:0011462;HP:0000982;HP:0001638;HP:0000007;HP:0001712;HP:0003621;HP:0001425;HP:0001645;HP:0002119;HP:0003457;HP:0001714;HP:0000407;HP:0001635;HP:0001644;HP:0003236,Heart/Cardiovasculature/Lymphatic,9241277;15698845;22876777;20641121;19035361;15607392,Cardiac,"CMD1FF, CMD2A, CMH7, RCM1, TNNC1, cTnI",11947 ,2020-05-07T10:45:19Z
TNNT2,191045,"CARDIOMYOPATHY, HYPERTROPHIC, 2",115195,confirmed,monoallelic,all missense/in frame,HP:0005110;HP:0001712;HP:0001638;HP:0001644;HP:0001874;HP:0030682;HP:0001639;HP:0003198;HP:0000982;HP:0001635;HP:0003457;HP:0000407;HP:0000006;HP:0001699;HP:0003236;HP:0100578,Heart/Cardiovasculature/Lymphatic,8205619;23494605;14636924;27532257;27721798;1934353;10330428;10405326;11060294;9637714;10449439,Cardiac,"CMD1D, CMH2, CMPD2, LVNC6, RCM3, TnTC, cTnT",11949 ,2020-05-07T10:45:19Z
TPM1,191010,"CARDIOMYOPATHY, HYPERTROPHIC, 3",115196,confirmed,monoallelic,all missense/in frame,HP:0003236;HP:0003198;HP:0001644;HP:0001874;HP:0004756;HP:0000982;HP:0001635;HP:0001653;HP:0001639;HP:0100578;HP:0000006;HP:0000407;HP:0003457,Heart/Cardiovasculature/Lymphatic,7729014;8205619;8327508;8774330;8523464;9822100;11136687;12651045;12423715;27532257;25548289;21376702;23508784;27057166;15059934;11603924;11045979;21320446,Cardiac,"C15orf13, CMD1Y, CMH3, HEL-S-265, HTM-alpha, LVNC9, TMSA",12010 ,2020-05-07T10:45:19Z
TRIM63,606131,"CARDIOMYOPATHY, HYPERTROPHIC",No disease mim,possible,monoallelic,loss of function,NA,Heart/Cardiovasculature/Lymphatic,22821932;25801283;15601779;11679633,Cardiac,NA,16007 ,2020-05-07T10:45:19Z
TTN,188840,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 9",613765,possible,monoallelic,all missense/in frame,HP:0011463;HP:0000160;HP:0002355;HP:0012764;HP:0009113;HP:0001712;HP:0003593;HP:0003805;HP:0001999;HP:0001256;HP:0003306;HP:0030059;HP:0002194;HP:0003391;HP:0000006;HP:0001761;HP:0001634;HP:0003376;HP:0000602;HP:0001654;HP:0002828;HP:0000308;HP:0003691;HP:0001635;HP:0009046;HP:0001874;HP:0003457;HP:0003555;HP:0001639;HP:0002877;HP:0100578;HP:0000193;HP:0000407;HP:0100293;HP:0031374;HP:0000276;HP:0003701;HP:0100295;HP:0003236;HP:0002093;HP:0001762;HP:0001667;HP:0003829;HP:0002650;HP:0003323;HP:0006699;HP:0003551;HP:0004322;HP:0003327;HP:0000411;HP:0008994;HP:0003687;HP:0001638;HP:0003547;HP:0003202;HP:0003722;HP:0003581;HP:0010628;HP:0001618;HP:0002312;HP:0005110;HP:0008963;HP:0031237;HP:0003577;HP:0030091;HP:0008959;HP:0003273;HP:0003403;HP:0003731;HP:0000303;HP:0009049;HP:0001508;HP:0003741;HP:0011675;HP:0001763;HP:0001385;HP:0001644;HP:0001260;HP:0001708;HP:0005991;HP:0000007;HP:0001678;HP:0001288;HP:0002747;HP:0000508;HP:0002460;HP:0100807;HP:0001290;HP:0003803;HP:0008800;HP:0002359;HP:0003198;HP:0003324;HP:0003828;HP:0000597;HP:0003715;HP:0030319;HP:0000218;HP:0003749;HP:0002421;HP:0003307;HP:0008981;HP:0004756;HP:0012664;HP:0003458;HP:0002527;HP:0002792;HP:0008180;HP:0001270;HP:0009027;HP:0004889;HP:0009077;HP:0009058;HP:0003560;HP:0001699;HP:0002094;HP:0000278;HP:0002515;HP:0008978;HP:0001620;HP:0000982;HP:0002878;HP:0002111;HP:0001349;HP:0003700;HP:0000750;HP:0001284;HP:0001371;HP:0003557;HP:0003677,Heart/Cardiovasculature/Lymphatic,27625337;21297871;8631348;15582318;25613900;10462489;19608031;27625337;17261657;19679835,Cardiac,"CMD1G, CMH9, CMPD4, EOMFC, HMERF, LGMD2J, LGMDR10, MYLK5, SALMY, TMD",12403 ,2020-05-07T10:45:19Z
VCL,193065,"CARDIOMYOPATHY, HYPERTROPHIC, 15",613255,possible,monoallelic,all missense/in frame,HP:0000407;HP:0001639;HP:0002094;HP:0001644;HP:0003457;HP:0001635;HP:0003198;HP:0000006;HP:0000982;HP:0001874;HP:0003236;HP:0006685;HP:0100578,Heart/Cardiovasculature/Lymphatic,17097056;16949038;27503891,Cardiac,"CMD1W, CMH15, HEL114, MV, MVCL",12665 ,2020-05-07T10:45:19Z
